Record,Well,Dart_job,Our_plate,Our_sample,Fishtot,File,MD5,TargetID,UID,SP,Lcode,lat,lon,MONTH,DATE,YEAR,AgeCombined,AgeType,ToothAgeQuality,Age1,Age2,Aging comments,SexDArT,SLcm,Batch,PlateIDcombined,Tissue,Weightg,Comments,Source,npoly
1,B5,9.13E+11,Cap12,2010BS40,801677,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409050,2010BS40_B5_12,BARBATUS,Barrow,71.290556, -156.788611,JUL,22-Jul-10,2010,6,Tooth,B,5,6,,F,,2,15,Liver,0.0093,,,0
2,C9,9.13E+11,Cap4,EB20GAM002,1009179,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408331,EB20GAM002_C9_4,BARBATUS,Gambell,63.776111,-171.700833,JAN,21-Jan-20,2020,4,Tooth,A,,,,M,167.64,2,7,Muscle,0.0104,none,,0
3,H5,9.13E+11,Cap4,EB16GAM070,988459,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408304,EB16GAM070_H5_4,BARBATUS,Gambell,63.776111,-171.700833,Winter,,2016,0,Tooth,A,,,,M,,2,7,Muscle,0.0099,none,,0
4,D11,9.13E+11,Cap9,SH-G18-04,798706,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408818,SH-G18-04_D11_9,BARBATUS,Shishmaref,66.255556,-166.072222,OCT,13-Oct-04,2004,0,Tooth,A,,,,M,149,2,12,Liver,0.0105,,UAM,0
5,F10,9.13E+11,Cap14,SH-S04-05,729770,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409282,SH-S04-05_F10_14,BARBATUS,Shishmaref,66.255556,-166.072222,OCT,21-Oct-05,2005,0,Tooth,A,,,,M,154,2,17,Skin,0.0096,DMSO,SWFSC,0
6,C2,9.13E+11,Cap1,09BS8,842154,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2407993,09BS8_C2_1,BARBATUS,Barrow,71.290556, -156.788611,,,2009,1,Tooth,A,,,,F,,2,4,Muscle,0.008,none,,0
7,H1,9.13E+11,Cap9,EB17GAM073,835253,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408742,EB17GAM073_H1_9,BARBATUS,Gambell,63.776111,-171.700833,SEP,12-Sep-17,2017,0,Tooth,A,,,,F,152.4,2,12,Liver,0.008,none,,1
8,D6,9.13E+11,Cap12,EB13GAM022,978163,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409060,EB13GAM022_D6_12,BARBATUS,Gambell,63.776111,-171.700833,,,2013,0,Claw,,,,,F,,2,15,Liver,0.0112,,,0
9,C1,9.13E+11,Cap9,EB17GAM059,720882,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408737,EB17GAM059_C1_9,BARBATUS,Gambell,63.776111,-171.700833,SEP,1-Sep-17,2017,0,Tooth,A,,,,F,145,2,12,Liver,0.0098,none,,0
10,D4,9.13E+11,Cap15,EB05NOM003,763300,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409326,EB05NOM003_D4_15,BARBATUS,Nome,64.503889,-165.399444,MAY,28-May-05,2005,13,Tooth,A,,,,F,,2,18,Skin,0.0089,DMSO,SWFSC,0
11,C2,9.13E+11,Cap13,2010BS7,775555,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409121,2010BS7_C2_13,BARBATUS,Barrow,71.290556, -156.788611,JUN,25-Jun-10,2010,17,Tooth,A,16,18,,M,135,2,16,Muscle,0.007,,,0
12,C11,9.13E+11,Cap12,EB20GAM062,797297,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409099,EB20GAM062_C11_12,BARBATUS,Gambell,63.776111,-171.700833,DEC,5-Dec-20,2020,0,Tooth,A,,,,F,182.88,2,15,Muscle,0.0082,,,0
13,D11,9.13E+11,Cap8,EB17GAM038,978214,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408724,EB17GAM038_D11_8,BARBATUS,Gambell,63.776111,-171.700833,MAY,15-May-17,2017,1,Tooth,A,,,,F,175,2,11,Liver,0.0073,none,,0
14,H3,9.13E+11,Cap5,SH-S12-04,467431,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408382,SH-S12-04_H3_5,BARBATUS,Shishmaref,66.255556,-166.072222,MAY,21-May-04,2004,0,Tooth,A,,,born in early May?,M,147,2,8,Muscle,0.0076,"dry and blubery, from vial",,0
15,D6,9.13E+11,Cap8,EB16GAM043,994208,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408684,EB16GAM043_D6_8,BARBATUS,Gambell,63.776111,-171.700833,,,2016,14,Tooth,A,13,15,,M,182.88,2,11,Liver,0.0083,none,,0
16,B11,9.13E+11,Cap2,EB12SH019,782513,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408158,EB12SH019_B11_2,BARBATUS,Shishmaref,66.255556,-166.072222,,,2012,0,Tooth,A,,,Date assumed to be summer or fall,F,177.8,2,5,Muscle,0.0099,Blubbery,,0
17,B12,9.13E+11,Cap2,EB12SH036,750183,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408166,EB12SH036_B12_2,BARBATUS,Shishmaref,66.255556,-166.072222,JUN,28-Jun-12,2012,3,Tooth,A,,,,M,152.4,2,5,Muscle,0.0085,none,,0
18,C3,9.13E+11,Cap15,DIO-083-02,1115783,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409571,DIO-083-02_C3_15,BARBATUS,Diomede Island,65.758333,-168.951667,JUN,4-Jun-02,2002,0,Tooth,,,,,F,,2,18,Skin,0.008,DMSO,SWFSC,0
19,A7,9.13E+11,Cap10,DIO-003-07,952783,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408877,DIO-003-07_A7_10,BARBATUS,Diomede Island,65.758333,-168.951667,JUN,2-Jun-07,2007,0,Tooth,A,,,,M,,2,13,Muscle,0.01,,UAM,0
20,D11,9.13E+11,Cap11,2010BS11,693424,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409006,2010BS11_D11_11,BARBATUS,Barrow,71.290556, -156.788611,JUN,27-Jun-10,2010,15,Tooth,A,14,16,,M,,2,14,Muscle,0.0095,,,0
21,B4,9.13E+11,Cap8,EB16GAM014,822238,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408666,EB16GAM014_B4_8,BARBATUS,Gambell,63.776111,-171.700833,Spring,,2016,4,Tooth,B,4,5,,F,152,2,11,Liver,0.0073,none,,0
22,E11,9.13E+11,Cap11,2010BS13,1112944,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409543,2010BS13_E11_11,BARBATUS,Barrow,71.290556, -156.788611,JUN,28-Jun-10,2010,19,Tooth,A,18,20,,F,,2,14,Muscle,0.008,,,0
23,H8,9.13E+11,Cap11,EB15SH002,743169,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408986,EB15SH002_H8_11,BARBATUS,Shishmaref,66.255556,-166.072222,Fall,,2015,0,Tooth,A,,,,F,152,2,14,Muscle,0.0086,,UAM,1
24,F3,9.13E+11,Cap8,EB16GAM007,835809,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408662,EB16GAM007_F3_8,BARBATUS,Gambell,63.776111,-171.700833,Spring,,2016,2,Tooth,B,2,3,,F,,2,11,Liver,0.0104,none,,0
25,A10,9.13E+11,Cap5,EB20GAM039,892906,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408431,EB20GAM039_A10_5,BARBATUS,Gambell,63.776111,-171.700833,MAY,7-May-20,2020,2,Tooth,A,,,,F,183,2,8,Muscle,0.0085,,,0
26,H4,9.13E+11,Cap12,2010BS36,918995,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409048,2010BS36_H4_12,BARBATUS,Barrow,71.290556, -156.788611,JUL,17-Jul-10,2010,5,Tooth,A,,,,M,,2,15,Liver,0.0095,,,0
27,D4,9.13E+11,Cap11,EB08PH047,784881,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408950,EB08PH047_D4_11,BARBATUS,Point Hope,68.346944,-166.763056,JUN,27-Jun-08,2008,0,Tooth,A,,,,M,138.43,2,14,Muscle,0.01,,UAM,0
28,G1,9.13E+11,Cap4,EB14PH014,886766,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408271,EB14PH014_G1_4,BARBATUS,Point Hope,68.346944,-166.763056,JUN,13-Jun-14,2014,1,Tooth,A,,,,F,189,2,7,Muscle,0.0061,none,,0
29,F9,9.13E+11,Cap4,EB11PH032,809149,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408334,EB11PH032_F9_4,BARBATUS,Point Hope,68.346944,-166.763056,JUN,18-Jun-11,2011,1,Tooth,A,,,,F,153,2,7,Muscle,0.0108,moved from plate 2.1,,0
30,A1,9.13E+11,Cap12,EB08SH009,847277,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409017,EB08SH009_A1_12,BARBATUS,Shishmaref,66.255556,-166.072222,JUN,23-Jun-08,2008,1,Tooth,A,,,,M,203.2,2,15,Liver,0.0075,,UAM,0
31,F5,9.13E+11,Cap12,EB09DIO022,897459,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409054,EB09DIO022_F5_12,BARBATUS,Diomede Island,65.758333,-168.951667,NOV,20-Nov-09,2009,0,Tooth,A,,,,F,152.4,2,15,Liver,0.0077,,,0
32,F11,9.13E+11,Cap11,2010BS15,1131187,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2409544,2010BS15_F11_11,BARBATUS,Barrow,71.290556, -156.788611,JUN,28-Jun-10,2010,10,Tooth,A,9,11,,F,,2,14,Muscle,0.008,,,0
33,A6,9.13E+11,Cap8,EB16GAM033,801352,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408681,EB16GAM033_A6_8,BARBATUS,Gambell,63.776111,-171.700833,,,2016,6,Tooth,A,,,,F,,2,11,Liver,0.0104,none,,0
34,H7,9.13E+11,Cap4,EB19GAM021,286967,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408320,EB19GAM021_H7_4,BARBATUS,Gambell,63.776111,-171.700833,Spring,,2019,2,Tooth,B,1,2,,M,,2,7,Muscle,0.0076,none,,2
35,H7,9.13E+11,Cap1,EB10PH043,822347,Cluster_Count_0_Target_mainspeciesONLY.csv,07ccd032f47248dc13be14c102f98e47,2408038,EB10PH043_H7_1,BARBATUS,Point Hope,68.346944,-166.763056,JUN,23-Jun-10,2010,7,Tooth,B,7,8,,F,210,2,4,Muscle,0.0085,none,,0
