Sample Archive Loacaion and Accession Numbers,,,,,
,,,,,
Specimen ID,Location,Year,Tissue,Archive location,Accession number
EB16SH006a,Shishmaref,2016,muscle,ADFG,
EB16SH006b,Shishmaref,2016,muscle,ADFG,
SH-G04-98,Shishmaref,1998,heart,UAM,69606
SH-G05-98,Shishmaref,1998,kidney ,UAM,69605
SH-G13-98,Shishmaref,1998,skin,SWFSC,32249
SH-G35-98,Shishmaref,1998,liver,UAM,98087
GM-J01-99,Gambell,1999,muscle,UAM,66419
GM-J02-99,Gambell,1999,muscle,UAM,66418
GM-J03-99,Gambell,1999,skin,SWFSC,52326
DIO-G06-00,Diomede Island,2000,spleen,UAM,98197
SH-M04-00,Shishmaref,2000,muscle,UAM,66440
SH-R21-00,Shishmaref,2000,skin,SWFSC,32256
DIO-014-01,Diomede Island,2001,muscle,UAM,89341
DIO-020-02,Diomede Island,2001,kidney ,UAM,84832
DIO-021-01,Diomede Island,2001,muscle,UAM,98124
G01-0035,Gambell,2001,skin,SWFSC,52324
SH-M03-01,Shishmaref,2001,skin,SWFSC,32251
SH-M05-01,Shishmaref,2001,skin,SWFSC,32253
SH-S09-01,Shishmaref,2001,skin,SWFSC,32257
DIO-005-02,Diomede Island,2002,muscle,UAM,84823
DIO-006-02,Diomede Island,2002,liver,UAM,84824
DIO-017-02,Diomede Island,2002,liver,UAM,98114
DIO-018-02,Diomede Island,2002,muscle,UAM,97816
DIO-022-02,Diomede Island,2002,skin,SWFSC,32213
DIO-023-02,Diomede Island,2002,liver,UAM,84833
DIO-024-02,Diomede Island,2002,muscle,UAM,84834
DIO-027-02,Diomede Island,2002,skin,SWFSC,32216
DIO-028-02,Diomede Island,2002,skin,SWFSC,32217
DIO-029-02,Diomede Island,2002,muscle,UAM,84836
DIO-030-02,Diomede Island,2002,skin,SWFSC,32219
DIO-031-02,Diomede Island,2002,skin,SWFSC,32220
DIO-032-02,Diomede Island,2002,skin,SWFSC,32221
DIO-034-02,Diomede Island,2002,skin,SWFSC,32222
DIO-036-02,Diomede Island,2002,skin,SWFSC,32223
DIO-037-02,Diomede Island,2002,skin,SWFSC,32224
DIO-045-02,Diomede Island,2002,muscle,UAM,84841
DIO-046-02,Diomede Island,2002,heart,UAM,84842
DIO-048-02,Diomede Island,2002,muscle,UAM,97818
DIO-049-02,Diomede Island,2002,skin,SWFSC,32229
DIO-050-02,Diomede Island,2002,liver,UAM,84843
DIO-051-02,Diomede Island,2002,skin,SWFSC,32231
DIO-053-02,Diomede Island,2002,skin,SWFSC,52239
DIO-054-02,Diomede Island,2002,skin,SWFSC,32232
DIO-068-02,Diomede Island,2002,skin,SWFSC,32233
DIO-070-02,Diomede Island,2002,muscle,UAM,84854
DIO-081-02,Diomede Island,2002,skin,SWFSC,32235
DIO-082-02,Diomede Island,2002,skin,SWFSC,32236
DIO-083-02,Diomede Island,2002,skin,SWFSC,32237
DIO-084-02,Diomede Island,2002,muscle,UAM,84855
DIO-085-02,Diomede Island,2002,skin,SWFSC,32239
DIO-086-02,Diomede Island,2002,skin,SWFSC,32240
G02-0167,Gambell,2002,skin,SWFSC,32243
HB-002-02,Hooper Bay,2002,muscle,UAM,118026
SH-G06-02,Shishmaref,2002,liver,UAM,97972
SH-M08-02,Shishmaref,2002,skin,SWFSC,32254
SH-M11-02,Shishmaref,2002,skin,SWFSC,32255
DIO-002-03,Diomede Island,2003,liver,UAM,118029
DIO-011-03,Diomede Island,2003,Testis,UAM,98252
DIO-014-03,Diomede Island,2003,liver,UAM,118028
DIO-015-03,Diomede Island,2003,liver,UAM,98243
DIO-016-03,Diomede Island,2003,liver,UAM,118027
DIO-017-03,Diomede Island,2003,heart,UAM,98083
DIO-018-03,Diomede Island,2003,liver,UAM,98140
DIO-020-03,Diomede Island,2003,skin,SWFSC,52232
DIO-023-03,Diomede Island,2003,liver,UAM,98246
DIO-027-03,Diomede Island,2003,liver,UAM,98228
DIO-028-03,Diomede Island,2003,liver,UAM,98160
DIO-040-03,Diomede Island,2003,heart,UAM,91736
DIO-048-03,Diomede Island,2003,spleen,UAM,98179
DIO-054-03,Diomede Island,2003,liver,UAM,98229
DIO-055-03,Diomede Island,2003,liver,UAM,98135
DIO-056-03,Diomede Island,2003,liver,UAM,98225
DIO-065-03,Diomede Island,2003,liver,UAM,98079
DIO-067-03,Diomede Island,2003,heart,UAM,98201
DIO-074-03,Diomede Island,2003,skin,SWFSC,75090
DIO-088-03,Diomede Island,2003,spleen,UAM,98192
DIO-089-03,Diomede Island,2003,liver,UAM,98132
DIO-091-03,Diomede Island,2003,liver,UAM,98242
DIO-102-03,Diomede Island,2003,liver,UAM,98155
DIO-103-03,Diomede Island,2003,liver,UAM,98219
DIO-106-03,Diomede Island,2003,spleen,UAM,98149
DIO-108-03,Diomede Island,2003,spleen,UAM,98146
DIO-109-03,Diomede Island,2003,spleen,UAM,98145
DIO-110-03,Diomede Island,2003,skin,SWFSC,75109
DIO-115-03,Diomede Island,2003,liver,UAM,98207
DIO-116-03,Diomede Island,2003,liver,UAM,98199
DIO-124-03,Diomede Island,2003,liver,UAM,98157
DIO-126-03,Diomede Island,2003,liver,UAM,98231
DIO-148-03,Diomede Island,2003,skin,SWFSC,75138
DIO-152-03,Diomede Island,2003,liver,UAM,98159
DIO-153-03,Diomede Island,2003,spleen,UAM,98198
DIO-164-03,Diomede Island,2003,liver,UAM,98127
GM-W01-03,Gambell,2003,skin,SWFSC,52330
HB-008-03,Hooper Bay,2003,skin,SWFSC,52343
HB-009-03,Hooper Bay,2003,skin,SWFSC,52345
HB-010-03,Hooper Bay,2003,skin,SWFSC,52346
S03-0354,Savoonga,2003,skin,SWFSC,52392
SV-001-03,Savoonga,2003,liver,UAM,98237
SV-001-03,Savoonga,2003,skin,SWFSC,52425
SV-004-03,Savoonga,2003,skin,SWFSC,52428
SV-004-03,Savoonga,2003,liver,UAM,97909
SV-007-03,Savoonga,2003,skin,SWFSC,52430
SV-007-03,Savoonga,2003,kidney ,UAM,97716
SV-008-03,Savoonga,2003,kidney ,UAM,97910
SV-008-03,Savoonga,2003,skin,SWFSC,52431
SV-009-03,Savoonga,2003,skin,SWFSC,52432
SV-009-03,Savoonga,2003,kidney ,UAM,97717
SH-B01-03,Shishmaref,2003,liver,UAM,98105
SH-B02-03,Shishmaref,2003,liver,UAM,103072
SH-B03-03,Shishmaref,2003,skin,SWFSC,52405
SH-B04-03,Shishmaref,2003,liver,UAM,98104
SH-B05-03,Shishmaref,2003,liver,UAM,98097
SH-B06-03,Shishmaref,2003,liver,UAM,98098
SH-B08-03,Shishmaref,2003,liver,UAM,98112
SH-B09-03,Shishmaref,2003,skin,SWFSC,52410
SH-B12-03,Shishmaref,2003,liver,UAM,97970
SH-B36-03,Shishmaref,2003,muscle,ADFG,
SH-G01-03,Shishmaref,2003,muscle,ADFG,
SH-G08-03,Shishmaref,2003,muscle,ADFG,
SH-G10-03,Shishmaref,2003,skin,SWFSC,75366
SH-G15-03,Shishmaref,2003,skin,SWFSC,75386
SH-M01-03,Shishmaref,2003,muscle,ADFG,
SH-M02-03,Shishmaref,2003,muscle,ADFG,
SH-M03-03,Shishmaref,2003,muscle,ADFG,
SH-M04-03,Shishmaref,2003,muscle,ADFG,
SH-M05-03,Shishmaref,2003,muscle,ADFG,
SH-M06-03,Shishmaref,2003,muscle,ADFG,
SH-M07-03,Shishmaref,2003,muscle,ADFG,
SH-M08-03,Shishmaref,2003,muscle,ADFG,
SH-M09-03,Shishmaref,2003,skin,SWFSC,75504
SH-M11-03,Shishmaref,2003,skin,SWFSC,75522
SH-M13-03,Shishmaref,2003,skin,SWFSC,75530
SH-S02-03,Shishmaref,2003,skin,SWFSC,75571
SH-S07-03,Shishmaref,2003,skin,SWFSC,75591
SH-S10-03,Shishmaref,2003,skin,SWFSC,75602
DIO-012-04,Diomede Island,2004,muscle,UAM,97950
DIO-013-04,Diomede Island,2004,muscle,ADFG,
DIO-020-04,Diomede Island,2004,muscle,ADFG,
DIO-021-04,Diomede Island,2004,muscle,UAM,97930
DIO-022-04,Diomede Island,2004,muscle,ADFG,
DIO-024-04,Diomede Island,2004,muscle,ADFG,
DIO-025-04,Diomede Island,2004,liver,UAM,97933
DIO-026-04,Diomede Island,2004,muscle,ADFG,
DIO-028-04,Diomede Island,2004,muscle,ADFG,
DIO-034-04,Diomede Island,2004,muscle,ADFG,
DIO-037-04,Diomede Island,2004,muscle,ADFG,
DIO-038-04,Diomede Island,2004,muscle,ADFG,
DIO-042-04,Diomede Island,2004,muscle,ADFG,
DIO-058-04,Diomede Island,2004,muscle,UAM,85131
DIO-059-04,Diomede Island,2004,muscle,UAM,85132
DIO-060-04,Diomede Island,2004,muscle,UAM,85133
HB-015-04,Hooper Bay,2004,muscle,ADFG,
NOM-002-04,Nome,2004,kidney ,ADFG,
NOM-002-04,Nome,2004,heart,UAM,97727
PH-04-04,Point Hope,2004,muscle,ADFG,
PH-06-04,Point Hope,2004,muscle,ADFG,
PH-09-04,Point Hope,2004,muscle,ADFG,
PH-10-04,Point Hope,2004,muscle,ADFG,
PH-15-04,Point Hope,2004,muscle,ADFG,
PH-17-04,Point Hope,2004,muscle,ADFG,
SAV-004-04,Savoonga,2004,muscle,ADFG,
SAV-007-04,Savoonga,2004,muscle,ADFG,
SH-G03-04,Shishmaref,2004,muscle,ADFG,
SH-G07-04,Shishmaref,2004,liver,UAM,97790
SH-G18-04,Shishmaref,2004,liver,UAM,97761
SH-G19-04,Shishmaref,2004,muscle,ADFG,
SH-M100-04,Shishmaref,2004,skin,SWFSC,75507
SH-M104-04,Shishmaref,2004,skin,SWFSC,75514
SH-M105-04,Shishmaref,2004,skin,SWFSC,75515
SH-M108-04,Shishmaref,2004,skin,SWFSC,75518
SH-M109-04,Shishmaref,2004,skin,SWFSC,75519
SH-S01-04,Shishmaref,2004,muscle,ADFG,
SH-S02-04,Shishmaref,2004,muscle,ADFG,
SH-S03-04,Shishmaref,2004,muscle,ADFG,
SH-S04-04,Shishmaref,2004,muscle,ADFG,
SH-S05-04,Shishmaref,2004,muscle,ADFG,
SH-S06-04,Shishmaref,2004,muscle,ADFG,
SH-S07-04,Shishmaref,2004,muscle,ADFG,
SH-S08-04,Shishmaref,2004,muscle,ADFG,
SH-S10-04,Shishmaref,2004,muscle,ADFG,
SH-S11-04,Shishmaref,2004,muscle,ADFG,
